user_id,age,location,interest
236,47,Suburban,Education
237,59,Rural,Education
238,52,Urban,Education
239,24,Rural,Wildlife
240,33,Rural,Cleaning
241,43,Rural,Education
242,19,Suburban,Community
243,18,Suburban,Wildlife
244,29,Rural,Recycling
245,22,Rural,Cleaning
246,54,Urban,Community
247,49,Urban,Education
248,26,Suburban,Recycling
249,58,Suburban,Cleaning
250,52,Urban,Wildlife
251,36,Rural,Recycling
252,33,Suburban,Recycling
253,20,Rural,Community
254,37,Urban,Cleaning
255,41,Suburban,Community
256,50,Suburban,Community
257,41,Urban,Education
258,28,Suburban,Wildlife
259,25,Urban,Recycling
260,53,Suburban,Cleaning
261,55,Urban,Wildlife
262,57,Suburban,Wildlife
263,37,Rural,Cleaning
264,52,Rural,Wildlife
265,42,Rural,Education
266,52,Suburban,Wildlife
267,42,Suburban,Education
268,46,Rural,Recycling
269,35,Rural,Recycling
270,35,Urban,Community
271,19,Urban,Education
272,52,Urban,Recycling
273,33,Rural,Wildlife
274,58,Rural,Cleaning
275,53,Rural,Cleaning
276,50,Urban,Education
277,21,Suburban,Community
278,50,Rural,Wildlife
279,31,Suburban,Education
280,38,Suburban,Cleaning
281,37,Suburban,Education
282,25,Urban,Wildlife
283,24,Suburban,Recycling
284,20,Rural,Wildlife
285,34,Urban,Recycling
286,50,Rural,Recycling
287,29,Rural,Recycling
288,39,Urban,Education
289,39,Rural,Cleaning
290,47,Rural,Education
291,55,Urban,Cleaning
292,55,Rural,Wildlife
293,25,Suburban,Community
294,44,Rural,Wildlife
295,44,Suburban,Education
296,51,Rural,Education
297,38,Urban,Cleaning
298,47,Urban,Education
299,50,Rural,Recycling
300,45,Urban,Education
301,50,Rural,Cleaning
302,22,Urban,Cleaning
303,36,Suburban,Recycling
304,21,Rural,Cleaning
305,52,Suburban,Community
306,34,Suburban,Wildlife
307,45,Rural,Education
308,47,Suburban,Community
309,46,Rural,Education
310,23,Suburban,Community
311,52,Rural,Education
312,58,Rural,Recycling
313,54,Urban,Cleaning
314,41,Rural,Cleaning
315,46,Rural,Recycling
316,48,Suburban,Community
317,52,Rural,Wildlife
318,50,Urban,Community
319,38,Suburban,Cleaning
320,49,Suburban,Wildlife
321,40,Urban,Education
322,50,Suburban,Wildlife
323,20,Suburban,Community
324,35,Suburban,Recycling
325,42,Suburban,Education
326,59,Urban,Community
327,48,Urban,Education
328,20,Suburban,Wildlife
329,57,Suburban,Cleaning
330,41,Urban,Community
331,49,Urban,Recycling
332,39,Urban,Wildlife
333,40,Suburban,Community
334,19,Suburban,Recycling
335,44,Rural,Community
336,59,Urban,Wildlife
337,19,Suburban,Community
338,43,Urban,Education
339,34,Suburban,Wildlife
340,57,Urban,Community
341,50,Suburban,Cleaning
342,26,Rural,Community
343,56,Rural,Education
344,46,Urban,Recycling
345,59,Suburban,Recycling
346,43,Suburban,Recycling
347,52,Urban,Cleaning
348,42,Suburban,Education
349,41,Urban,Wildlife
350,30,Suburban,Recycling
351,24,Urban,Education
352,53,Suburban,Community
353,37,Urban,Cleaning
354,18,Suburban,Education
355,25,Rural,Education
356,33,Suburban,Wildlife
357,31,Urban,Education
358,29,Rural,Wildlife
359,40,Suburban,Cleaning
360,32,Rural,Cleaning
361,45,Suburban,Community
362,51,Rural,Wildlife
363,19,Urban,Wildlife
364,49,Suburban,Recycling
365,40,Suburban,Recycling
366,39,Urban,Community
367,42,Rural,Cleaning
368,39,Urban,Recycling
369,39,Urban,Education
370,59,Rural,Cleaning
371,23,Urban,Education
372,32,Suburban,Wildlife
373,54,Suburban,Cleaning
374,50,Suburban,Community
375,25,Urban,Wildlife
376,22,Suburban,Wildlife
377,56,Suburban,Education
378,21,Suburban,Wildlife
379,23,Suburban,Recycling
380,49,Suburban,Cleaning
381,47,Suburban,Recycling
382,52,Urban,Education
383,57,Suburban,Education
384,33,Suburban,Cleaning
385,30,Rural,Wildlife
386,59,Urban,Community
387,47,Urban,Education
388,36,Urban,Cleaning
389,34,Urban,Community
390,36,Suburban,Wildlife
391,45,Suburban,Education
392,43,Rural,Cleaning
393,54,Rural,Cleaning
394,43,Urban,Cleaning
395,40,Rural,Education
396,26,Rural,Community
397,29,Urban,Cleaning
398,18,Urban,Wildlife
399,18,Rural,Cleaning
400,51,Suburban,Community
401,49,Rural,Education
402,42,Rural,Cleaning
403,57,Suburban,Cleaning
404,18,Suburban,Wildlife
405,33,Urban,Wildlife
406,56,Urban,Cleaning
407,22,Rural,Cleaning
408,39,Suburban,Wildlife
409,46,Urban,Community
410,20,Rural,Recycling
411,29,Suburban,Recycling
412,43,Rural,Cleaning
413,33,Urban,Wildlife
414,54,Urban,Education
415,39,Suburban,Education
416,46,Rural,Recycling
417,31,Suburban,Community
418,45,Urban,Recycling
419,22,Urban,Cleaning
420,47,Rural,Community
421,22,Rural,Education
422,29,Rural,Wildlife
423,33,Suburban,Wildlife
424,43,Rural,Cleaning
425,43,Rural,Recycling
426,38,Urban,Cleaning
427,56,Urban,Wildlife
428,53,Rural,Education
429,50,Rural,Wildlife
430,47,Urban,Community
431,54,Rural,Wildlife
432,40,Suburban,Wildlife
433,27,Suburban,Community
434,22,Suburban,Recycling
435,53,Rural,Wildlife
436,51,Urban,Cleaning
437,48,Rural,Wildlife
438,27,Rural,Cleaning
439,36,Urban,Community
440,49,Urban,Wildlife
441,18,Urban,Community
442,22,Suburban,Community
443,21,Rural,Recycling
444,33,Urban,Wildlife
445,41,Rural,Cleaning
446,33,Suburban,Cleaning
447,19,Suburban,Wildlife
448,45,Urban,Recycling
449,49,Urban,Recycling
450,44,Rural,Recycling
451,37,Urban,Cleaning
452,41,Rural,Community
453,29,Urban,Recycling
454,52,Rural,Cleaning
455,50,Rural,Cleaning
456,50,Rural,Community
457,54,Rural,Wildlife
458,29,Suburban,Wildlife
459,20,Rural,Recycling
460,18,Urban,Recycling
461,50,Suburban,Community
462,57,Suburban,Recycling
463,27,Rural,Community
464,46,Suburban,Cleaning
465,30,Rural,Recycling
466,29,Urban,Cleaning
467,48,Rural,Education
468,19,Suburban,Community
469,52,Urban,Education
470,40,Rural,Recycling
471,34,Urban,Cleaning
472,43,Urban,Recycling
473,25,Suburban,Education
474,46,Urban,Recycling
475,43,Suburban,Wildlife
476,27,Urban,Education
477,43,Rural,Recycling
478,51,Urban,Cleaning
479,58,Rural,Recycling
480,24,Rural,Cleaning
481,21,Urban,Wildlife
482,28,Rural,Recycling
483,46,Urban,Wildlife
484,53,Urban,Education
485,42,Rural,Cleaning
486,38,Rural,Education
487,53,Suburban,Cleaning
488,27,Rural,Wildlife
489,54,Suburban,Community
490,26,Rural,Recycling
491,41,Urban,Wildlife
492,52,Rural,Cleaning
493,52,Urban,Cleaning
494,53,Urban,Cleaning
495,35,Urban,Cleaning
496,56,Suburban,Recycling
497,49,Rural,Education
498,41,Urban,Community
499,40,Urban,Recycling
500,49,Suburban,Cleaning
501,54,Rural,Recycling
502,29,Rural,Wildlife
503,30,Suburban,Cleaning
504,40,Suburban,Community
505,42,Rural,Cleaning
506,52,Suburban,Community
507,58,Rural,Community
508,47,Rural,Education
509,34,Urban,Education
510,37,Urban,Recycling
511,42,Rural,Recycling
512,39,Rural,Community
513,30,Rural,Cleaning
514,36,Rural,Wildlife
515,53,Rural,Wildlife
516,29,Rural,Cleaning
517,58,Suburban,Cleaning
518,36,Rural,Education
519,29,Suburban,Wildlife
520,26,Suburban,Community
521,24,Rural,Recycling
522,45,Rural,Education
523,31,Suburban,Wildlife
524,48,Suburban,Cleaning
525,36,Rural,Wildlife
526,33,Rural,Community
527,22,Suburban,Education
528,52,Suburban,Cleaning
529,29,Suburban,Community
530,42,Urban,Recycling
531,38,Suburban,Education
532,53,Urban,Community
533,40,Rural,Community
534,33,Rural,Cleaning
535,56,Suburban,Recycling
536,59,Rural,Community
537,56,Rural,Education
538,31,Rural,Community
539,48,Rural,Wildlife
540,22,Urban,Education
541,52,Urban,Education
542,40,Suburban,Community
543,46,Suburban,Cleaning
544,28,Suburban,Education
545,35,Rural,Wildlife
546,29,Rural,Cleaning
547,26,Urban,Cleaning
548,27,Urban,Cleaning
549,34,Suburban,Education
550,55,Urban,Cleaning
551,24,Urban,Community
552,30,Urban,Cleaning
553,57,Urban,Wildlife
554,59,Urban,Recycling
555,26,Suburban,Wildlife
556,44,Suburban,Education
557,19,Urban,Cleaning
558,22,Suburban,Cleaning
559,46,Rural,Community
560,54,Urban,Cleaning
561,55,Rural,Wildlife
562,36,Suburban,Education
563,25,Suburban,Recycling
564,18,Rural,Cleaning
565,39,Suburban,Recycling
566,34,Urban,Cleaning
567,24,Rural,Education
568,42,Urban,Wildlife
569,21,Rural,Education
570,53,Suburban,Recycling
571,23,Rural,Cleaning
572,48,Rural,Recycling
573,36,Urban,Wildlife
574,56,Suburban,Education
575,44,Urban,Recycling
576,27,Suburban,Recycling
577,43,Urban,Wildlife
578,36,Rural,Cleaning
579,56,Urban,Recycling
580,20,Suburban,Wildlife
581,30,Suburban,Cleaning
582,45,Rural,Cleaning
583,37,Suburban,Education
584,45,Urban,Wildlife
585,25,Rural,Cleaning
586,58,Suburban,Education
587,56,Suburban,Community
588,18,Urban,Wildlife
589,20,Urban,Community
590,30,Rural,Cleaning
591,45,Suburban,Wildlife
592,42,Urban,Education
593,50,Rural,Cleaning
594,55,Suburban,Wildlife
595,23,Suburban,Wildlife
596,49,Rural,Community
597,38,Rural,Cleaning
598,33,Urban,Education
599,38,Suburban,Education
600,28,Suburban,Cleaning
601,54,Suburban,Cleaning
602,53,Rural,Recycling
603,52,Urban,Community
604,36,Suburban,Cleaning
605,37,Rural,Cleaning
606,35,Suburban,Recycling
607,58,Urban,Recycling
608,31,Suburban,Wildlife
609,32,Urban,Education
610,48,Urban,Community
611,18,Suburban,Wildlife
612,20,Suburban,Cleaning
613,33,Urban,Recycling
614,40,Rural,Education
615,28,Urban,Wildlife
616,29,Suburban,Education
617,27,Suburban,Recycling
618,49,Rural,Wildlife
619,33,Urban,Wildlife
620,25,Urban,Education
621,55,Urban,Recycling
622,29,Suburban,Cleaning
623,41,Urban,Wildlife
624,45,Rural,Cleaning
625,25,Suburban,Recycling
626,45,Suburban,Wildlife
627,53,Urban,Wildlife
628,43,Rural,Cleaning
629,25,Suburban,Community
630,45,Suburban,Cleaning
631,45,Urban,Cleaning
632,54,Urban,Community
633,58,Rural,Recycling
634,53,Urban,Recycling
635,44,Rural,Wildlife
636,34,Suburban,Education
637,26,Rural,Education
638,50,Rural,Wildlife
639,37,Rural,Education
640,30,Suburban,Cleaning
641,45,Urban,Cleaning
642,46,Suburban,Community
643,30,Urban,Community
644,52,Rural,Wildlife
645,23,Rural,Wildlife
646,35,Rural,Wildlife
647,22,Rural,Cleaning
648,42,Rural,Education
649,19,Urban,Wildlife
650,27,Urban,Wildlife
651,47,Rural,Cleaning
652,22,Suburban,Cleaning
653,50,Suburban,Cleaning
654,18,Rural,Education
655,35,Urban,Wildlife
656,49,Suburban,Recycling
657,28,Suburban,Recycling
658,38,Suburban,Wildlife
659,43,Rural,Wildlife
660,42,Suburban,Wildlife
661,39,Suburban,Wildlife
662,44,Suburban,Education
663,30,Suburban,Recycling
664,50,Urban,Community
665,51,Rural,Recycling
666,58,Rural,Recycling
667,52,Urban,Cleaning
668,18,Urban,Wildlife
669,38,Rural,Wildlife
670,23,Suburban,Wildlife
671,45,Suburban,Cleaning
672,34,Rural,Education
673,22,Suburban,Education
674,48,Urban,Community
675,22,Suburban,Education
676,55,Suburban,Education
677,20,Suburban,Wildlife
678,40,Rural,Recycling
679,54,Urban,Education
680,54,Suburban,Education
681,27,Rural,Cleaning
682,27,Suburban,Community
683,36,Urban,Cleaning
684,34,Suburban,Wildlife
685,38,Urban,Recycling
686,31,Suburban,Community
687,26,Urban,Cleaning
688,18,Suburban,Education
689,30,Urban,Education
690,21,Suburban,Community
691,18,Suburban,Education
692,57,Rural,Cleaning
693,49,Rural,Cleaning
694,51,Urban,Education
695,45,Suburban,Education
696,48,Urban,Wildlife
697,25,Rural,Recycling
698,56,Urban,Community
699,43,Urban,Cleaning
700,51,Rural,Community
701,20,Suburban,Wildlife
702,29,Urban,Cleaning
703,18,Rural,Wildlife
704,22,Suburban,Wildlife
705,47,Rural,Education
706,47,Urban,Community
707,34,Suburban,Community
708,40,Suburban,Education
709,32,Rural,Community
710,54,Rural,Education
711,38,Rural,Cleaning
712,31,Suburban,Wildlife
713,19,Suburban,Wildlife
714,28,Urban,Community
715,56,Suburban,Recycling
716,55,Urban,Wildlife
717,51,Rural,Education
718,55,Rural,Recycling
719,51,Suburban,Recycling
720,35,Rural,Wildlife
721,47,Rural,Wildlife
722,32,Suburban,Wildlife
723,44,Urban,Education
724,51,Suburban,Recycling
725,55,Urban,Community
726,50,Suburban,Education
727,41,Suburban,Cleaning
728,32,Rural,Wildlife
729,47,Suburban,Recycling
730,59,Suburban,Education
731,34,Urban,Cleaning
732,22,Rural,Education
733,46,Urban,Education
734,21,Urban,Community
735,27,Rural,Community
736,34,Rural,Education
737,27,Rural,Cleaning
738,34,Suburban,Recycling
739,37,Rural,Recycling
740,41,Rural,Wildlife
741,22,Rural,Wildlife
742,51,Urban,Recycling
743,23,Urban,Education
744,19,Suburban,Education
745,30,Urban,Community
746,28,Suburban,Community
747,40,Urban,Wildlife
748,33,Rural,Recycling
749,48,Urban,Education
750,28,Suburban,Recycling
751,33,Urban,Cleaning
752,25,Rural,Recycling
753,21,Suburban,Cleaning
754,57,Rural,Community
755,21,Rural,Community
756,42,Suburban,Wildlife
757,20,Rural,Recycling
758,49,Rural,Recycling
759,20,Urban,Cleaning
760,44,Rural,Community
761,46,Rural,Cleaning
762,49,Rural,Community
763,36,Rural,Cleaning
764,38,Suburban,Community
765,22,Urban,Cleaning
766,35,Rural,Community
767,45,Rural,Cleaning
768,59,Suburban,Recycling
769,39,Rural,Wildlife
770,38,Suburban,Cleaning
771,23,Urban,Wildlife
772,18,Urban,Recycling
773,22,Rural,Recycling
774,58,Rural,Community
775,29,Rural,Wildlife
776,43,Suburban,Education
777,51,Rural,Community
778,31,Rural,Wildlife
779,43,Urban,Cleaning
780,44,Rural,Cleaning
781,26,Urban,Recycling
782,43,Rural,Education
783,39,Urban,Cleaning
784,47,Rural,Wildlife
785,34,Urban,Wildlife
786,43,Suburban,Cleaning
787,53,Urban,Wildlife
788,18,Urban,Wildlife
789,25,Urban,Recycling
790,52,Rural,Education
791,32,Rural,Recycling
792,39,Rural,Education
793,31,Suburban,Wildlife
794,43,Suburban,Education
795,45,Urban,Wildlife
796,40,Suburban,Wildlife
797,31,Urban,Recycling
798,41,Urban,Recycling
799,19,Urban,Community
800,43,Suburban,Cleaning
801,31,Rural,Community
802,24,Suburban,Community
803,20,Urban,Education
804,40,Urban,Wildlife
805,35,Suburban,Wildlife
806,55,Urban,Wildlife
807,52,Urban,Cleaning
808,32,Suburban,Education
809,42,Suburban,Education
810,54,Suburban,Wildlife
811,45,Urban,Community
812,27,Urban,Cleaning
813,56,Rural,Community
814,34,Rural,Recycling
815,56,Suburban,Education
816,39,Rural,Education
817,43,Urban,Community
818,42,Rural,Cleaning
819,34,Urban,Education
820,30,Suburban,Community
821,37,Suburban,Cleaning
822,42,Urban,Community
823,21,Rural,Cleaning
824,27,Suburban,Wildlife
825,20,Suburban,Cleaning
826,58,Rural,Recycling
827,35,Rural,Wildlife
828,53,Urban,Community
829,39,Rural,Wildlife
830,51,Rural,Wildlife
831,25,Rural,Community
832,57,Urban,Community
833,36,Urban,Recycling
834,59,Suburban,Community
835,58,Urban,Education
836,54,Suburban,Education
837,23,Rural,Recycling
838,43,Suburban,Cleaning
839,51,Suburban,Cleaning
840,23,Rural,Education
841,54,Suburban,Community
842,50,Urban,Recycling
843,39,Urban,Cleaning
844,38,Urban,Cleaning
845,23,Urban,Wildlife
846,23,Suburban,Education
847,21,Suburban,Community
848,47,Rural,Recycling
849,28,Suburban,Cleaning
850,47,Suburban,Wildlife
851,48,Suburban,Education
852,41,Rural,Education
853,26,Urban,Recycling
854,20,Suburban,Cleaning
855,48,Rural,Recycling
856,57,Rural,Recycling
857,54,Rural,Wildlife
858,53,Urban,Education
859,41,Suburban,Community
860,48,Rural,Education
861,23,Urban,Education
862,19,Rural,Wildlife
863,37,Rural,Community
864,45,Rural,Cleaning
865,28,Rural,Community
866,21,Rural,Cleaning
867,32,Urban,Community
868,23,Suburban,Recycling
869,47,Suburban,Community
870,55,Suburban,Wildlife
871,19,Suburban,Cleaning
872,32,Urban,Education
873,28,Urban,Wildlife
874,25,Urban,Cleaning
875,43,Rural,Cleaning
876,22,Rural,Education
877,23,Rural,Recycling
878,43,Suburban,Wildlife
879,21,Rural,Education
880,36,Suburban,Education
881,37,Rural,Recycling
882,50,Suburban,Wildlife
883,37,Rural,Education
884,29,Rural,Recycling
885,18,Urban,Wildlife
886,43,Rural,Community
887,31,Rural,Cleaning
888,55,Urban,Recycling
889,54,Suburban,Cleaning
890,28,Urban,Community
891,53,Urban,Education
892,30,Suburban,Education
893,20,Rural,Wildlife
894,50,Suburban,Recycling
895,23,Rural,Recycling
896,27,Rural,Wildlife
897,22,Suburban,Cleaning
898,40,Urban,Education
899,27,Suburban,Education
900,19,Rural,Recycling
901,30,Suburban,Recycling
902,57,Suburban,Wildlife
903,19,Rural,Community
904,37,Urban,Cleaning
905,18,Suburban,Community
906,54,Rural,Community
907,26,Rural,Recycling
908,34,Suburban,Recycling
909,26,Urban,Recycling
910,28,Suburban,Community
911,32,Urban,Cleaning
912,41,Urban,Recycling
913,55,Urban,Education
914,52,Urban,Cleaning
915,47,Suburban,Education
916,48,Rural,Cleaning
917,22,Rural,Recycling
918,31,Rural,Wildlife
919,28,Rural,Recycling
920,26,Rural,Community
921,51,Rural,Community
922,29,Suburban,Cleaning
923,52,Urban,Community
924,52,Rural,Recycling
925,18,Suburban,Education
926,57,Rural,Recycling
927,39,Rural,Cleaning
928,46,Urban,Community
929,25,Urban,Education
930,28,Urban,Wildlife
931,58,Rural,Education
932,54,Rural,Education
933,31,Rural,Recycling
934,47,Urban,Wildlife
935,52,Suburban,Cleaning
936,38,Rural,Cleaning
937,54,Rural,Education
938,22,Rural,Education
939,36,Suburban,Community
940,31,Rural,Wildlife
941,43,Suburban,Education
942,21,Rural,Community
943,42,Suburban,Wildlife
944,59,Rural,Cleaning
945,42,Urban,Community
946,35,Urban,Wildlife
947,57,Urban,Community
948,25,Urban,Education
949,56,Rural,Recycling
950,57,Urban,Cleaning
951,31,Suburban,Education
952,49,Urban,Education
953,55,Urban,Wildlife
954,50,Urban,Community
955,40,Rural,Cleaning
956,32,Urban,Education
957,50,Suburban,Wildlife
958,42,Urban,Cleaning
959,34,Urban,Community
960,50,Urban,Education
961,19,Suburban,Education
962,31,Urban,Education
963,57,Suburban,Cleaning
964,57,Suburban,Cleaning
965,56,Urban,Cleaning
966,23,Suburban,Cleaning
967,23,Rural,Wildlife
968,20,Urban,Recycling
969,24,Urban,Wildlife
970,25,Suburban,Education
971,59,Suburban,Wildlife
972,32,Urban,Community
973,46,Rural,Cleaning
974,50,Suburban,Community
975,47,Suburban,Community
976,56,Rural,Education
977,44,Rural,Cleaning
978,53,Urban,Community
979,46,Rural,Education
980,55,Urban,Cleaning
981,50,Rural,Recycling
982,54,Suburban,Education
983,44,Urban,Wildlife
984,50,Urban,Cleaning
985,21,Urban,Community
986,39,Rural,Community
987,19,Suburban,Wildlife
988,27,Urban,Wildlife
989,22,Urban,Community
990,27,Urban,Cleaning
991,50,Urban,Education
992,55,Suburban,Wildlife
993,30,Rural,Wildlife
994,48,Suburban,Wildlife
995,53,Urban,Recycling
996,41,Suburban,Cleaning
997,32,Urban,Cleaning
998,46,Rural,Cleaning
999,25,Rural,Cleaning
1000,22,Rural,Cleaning
1001,46,Urban,Community
1002,21,Suburban,Wildlife
1003,29,Rural,Community
1004,19,Urban,Recycling
1005,44,Urban,Education
1006,48,Suburban,Wildlife
1007,53,Rural,Recycling
1008,53,Urban,Community
1009,43,Suburban,Education
1010,44,Rural,Recycling
1011,22,Suburban,Education
1012,37,Suburban,Recycling
1013,28,Urban,Community
1014,27,Urban,Education
1015,57,Urban,Recycling
1016,55,Suburban,Community
1017,23,Urban,Wildlife
1018,25,Suburban,Community
1019,40,Suburban,Community
1020,43,Urban,Wildlife
1021,29,Rural,Community
1022,43,Rural,Wildlife
1023,30,Rural,Wildlife
1024,57,Suburban,Wildlife
1025,35,Suburban,Recycling
1026,42,Suburban,Education
1027,50,Urban,Recycling
1028,57,Suburban,Wildlife
1029,29,Urban,Education
1030,53,Urban,Education
1031,21,Rural,Wildlife
1032,22,Rural,Education
1033,54,Rural,Education
1034,25,Urban,Recycling
1035,59,Urban,Education
1036,45,Urban,Wildlife
1037,48,Suburban,Cleaning
1038,26,Urban,Cleaning
1039,46,Rural,Cleaning
1040,31,Rural,Wildlife
1041,57,Urban,Cleaning
1042,58,Urban,Recycling
1043,39,Rural,Wildlife
1044,28,Urban,Wildlife
1045,40,Rural,Wildlife
1046,18,Suburban,Education
1047,54,Rural,Education
1048,38,Suburban,Education
1049,43,Urban,Community
1050,53,Urban,Recycling
1051,40,Suburban,Wildlife
1052,18,Urban,Wildlife
1053,57,Suburban,Education
1054,32,Urban,Wildlife
1055,38,Rural,Wildlife
1056,26,Urban,Cleaning
1057,26,Rural,Wildlife
1058,27,Rural,Community
1059,43,Suburban,Education
1060,58,Urban,Recycling
1061,52,Suburban,Recycling
1062,42,Urban,Cleaning
1063,43,Rural,Recycling
1064,28,Rural,Recycling
1065,55,Urban,Education
1066,19,Urban,Education
1067,24,Suburban,Community
1068,35,Urban,Cleaning
1069,44,Urban,Recycling
